sig_cutted,sig_cutted2
138.9124,21.59695
131.1869,21.05208
134.9818,21.63511
141.499,21.70654
142.0432,21.02614
143.6429,22.00509
151.6515,20.84906
145.6772,19.81046
154.1066,19.77785
165.355,22.17301
174.4404,23.74445
174.337,26.79601
186.6481,29.85509
172.3678,28.56883
153.9946,27.47807
142.8948,25.96973
125.6651,24.08995
118.3189,24.78059
122.4349,27.27051
123.002,27.02537
142.2891,30.17243
162.4332,30.32587
171.4684,29.54968
173.2818,27.08212
180.6228,28.04972
169.5134,26.25995
144.9987,25.07654
130.2507,25.96717
123.4356,26.19092
108.1042,25.64473
109.7944,24.67339
122.2597,23.17483
128.9019,22.80296
137.3373,22.92029
155.3088,22.14948
159.3153,24.26111
162.4435,25.60596
167.6216,27.03216
158.8504,27.38203
165.3763,28.34774
153.505,28.73569
156.0697,30.24741
156.2099,31.13398
155.8287,31.28028
145.8334,30.16364
140.3445,31.29552
129.2516,28.70527
109.8846,28.49158
97.19907,29.19394
91.53618,28.28089
95.32348,28.14697
103.5194,27.49866
120.2339,27.352
140.24,25.45683
156.3347,26.3471
163.0927,27.11209
167.8806,26.88191
155.974,30.1052
160.6067,33.22883
166.4314,36.27381
192.2999,39.58764
208.6151,40.69516
225.0733,39.21894
253.8058,38.38994
221.6276,32.91559
215.2492,29.88139
199.2224,28.06338
201.5673,27.60788
208.7332,26.86915
213.5502,28.22396
256.7003,31.40483
258.1943,31.61419
255.9793,32.70817
291.9416,35.39323
299.6637,35.79676
302.4601,36.6284
318.0887,38.22092
340.3886,39.05922
330.8017,38.43714
320.8573,37.09801
305.537,35.69524
315.1719,35.43209
254.4453,33.42365
238.6598,31.97863
198.5806,32.38056
170.6077,30.50794
144.0795,28.33746
141.6832,26.1021
151.2485,25.27542
167.7717,25.57786
177.2229,26.55771
180.9869,28.44736
179.1596,30.15012
153.568,30.30725
145.7199,29.36835
139.1911,28.5305
154.2114,29.86964
165.5085,29.33492
187.4329,29.58972
211.0958,30.65028
216.5643,31.12988
201.9417,28.94987
201.4776,29.98083
190.8224,30.05599
161.8053,27.75539
164.5081,27.82582
167.2553,27.63197
166.8613,27.59626
181.5681,28.70346
213.1176,31.76929
218.5359,33.07991
219.635,33.40685
215.4388,33.28341
203.8156,31.56867
157.437,26.27319
156.3521,25.1436
136.3493,22.30208
131.9808,21.05721
141.1189,21.05542
145.7561,22.46297
150.7085,22.55359
153.7732,23.70581
155.8314,24.66618
153.7458,23.75504
160.1682,24.69821
154.866,24.06187
158.3386,24.71991
153.0306,24.48957
162.534,25.11581
161.2007,27.02891
158.0743,26.7585
160.8096,26.84593
146.2371,26.80742
152.5982,26.86896
153.6953,25.66327
161.4095,25.11704
173.8044,24.49939
188.0891,24.267
200.2385,24.1203
197.9465,22.42355
193.6001,23.51868
197.9601,22.99798
179.9826,23.0466
169.9154,23.33577
166.3016,21.43641
156.9983,21.23521
149.3021,20.52682
151.4146,19.10048
160.402,19.3015
158.0926,20.05687
158.3235,22.05422
159.4313,23.52013
143.6159,25.8483
140.377,26.45687
135.937,27.51181
130.142,26.05558
144.375,24.68892
131.8462,22.34859
139.4593,21.28434
151.6533,21.28528
142.1064,20.64058
145.8044,21.52429
169.7384,23.68338
174.4247,24.40265
201.1686,26.28106
204.842,27.43447
229.934,28.69209
221.2523,28.42335
210.4157,28.13722
209.6873,26.90653
206.599,25.16061
207.1609,22.77249
195.605,20.06672
210.0846,20.66029
189.3883,19.24876
167.6883,19.67429
157.0193,22.00673
142.2858,23.62461
128.1927,24.14583
126.6981,25.84322
134.8821,25.70313
138.5028,24.97024
129.222,23.93984
139.0473,22.29647
137.9604,21.62132
144.8306,22.5325
135.9504,24.03783
141.427,26.41557
138.082,29.99358
118.4293,30.62145
118.5377,30.54742
118.7845,29.23674
127.9384,26.71233
132.7128,25.26043
146.7155,23.29048
151.2868,22.04231
155.5098,21.47844
154.6221,21.67995
163.9978,22.16718
159.8167,22.67378
159.709,23.86089
149.0719,22.87127
151.3577,24.67702
143.3166,24.0682
153.3272,24.79753
169.0966,25.05607
178.9488,26.81696
180.3751,26.59979
176.857,26.49558
163.0389,26.33548
141.9008,24.84874
133.3584,23.68424
126.544,22.43434
131.7952,21.28204
139.0625,23.58451
151.9139,23.85025
164.0121,27.43977
149.8917,29.11915
152.3273,29.58072
130.4958,29.2711
105.0927,25.78869
92.78671,23.98178
87.16237,21.80979
79.74007,20.2238
92.72839,20.28954
103.8482,20.77893
124.1534,21.44688
140.7148,22.78055
169.8223,25.02238
187.1733,26.59825
191.9124,26.39746
181.6351,25.79708
178.9645,27.71071
171.1006,26.17027
151.9277,25.80568
158.282,27.17632
176.8749,27.69992
156.8515,24.60209
161.2832,24.70596
158.5308,24.3624
151.8261,21.71937
150.8042,23.3546
147.3543,23.21734
157.9617,24.55771
145.4896,25.11278
150.4084,26.65295
146.3684,26.78393
149.0114,27.94554
149.0464,27.23248
156.2804,26.07511
161.1958,26.55415
158.22,25.29316
157.5496,25.49296
154.1787,25.72554
144.1447,26.90315
133.4538,25.20775
141.3844,23.61038
139.6192,24.60463
148.2671,23.68764
159.9309,23.22638
165.6422,25.90521
156.9213,26.00714
157.8404,25.82243
152.3944,25.69942
159.4217,24.68501
175.7341,23.14596
197.4057,23.12839
220.3031,21.95048
217.79,21.36531
226.1647,21.35564
211.1104,20.62348
195.7023,22.72388
182.9664,22.81264
169.9826,24.87302
155.2881,26.68704
147.2523,27.87812
134.0249,27.24105
138.5063,27.26945
147.9732,26.86687
164.046,25.56663
175.1582,24.83437
189.3654,24.96649
191.4556,26.83835
178.5243,25.67973
179.6729,26.71449
162.2828,27.4179
151.0248,27.30334
144.4263,27.64215
132.6858,28.03094
116.7389,27.40006
121.2288,25.9298
120.6803,25.10835
124.6611,24.27639
131.9993,24.7889
148.3885,26.04225
149.2026,27.85256
148.5698,30.0731
162.412,31.34497
154.8246,29.72811
166.9098,30.30589
171.095,28.60772
160.9149,26.90946
170.5955,25.95921
150.843,23.90237
156.3148,23.63127
164.7423,21.63822
173.948,21.34952
180.7879,20.76624
217.0622,22.08079
198.6358,23.70473
